accession	name in vcf	include in map	include in network	include in admixture	admixture_expanded	big_admix?	selection scan pop	admix pop	network color	population	population	latitude	longitude	ploidy_man_curated	nquire ploidy	proportion_het%_to_NT1	Number_S_haplogroups	Species_fin	source	source_type	snps (2n)	collector, comments	admix	twisst Siberia	selection_test	est-sfs	demographic modeling pops	file to upload	ENA accession				
MW0079608_2	MW0079608_2	yes	no	no	no				exclude	exclude	exclude	70.064679	83.231126	unsure	2	0,38	3	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079608_2_1.fq.gz	ERS18382833				
MW0079608_3	MW0079608_3	yes	yes	yes	yes	yes	LE_2n	MW0079608_3	blue	WS_2n	West_Siberia_2n	70.064679	83.231126	2	2	0,41	2	A. lyrata	Moscow University Herbarium	herbarium				PUWS_2n			PUD	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079608_3_1.fq.gz	ERS18382834				
MW0079609	MW0079609_3_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CS_4n	Central_Siberia_4n	73.25255	90.598596	4	4	0,53	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a68	ERS18382835				
MW0079609_3	MW0079609_4_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CS_4n	Central_Siberia_4n	73.25255	90.598596	4	4	0,64	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079609_3_1.fq.gz	ERS18382836				
MW0079609_4	MW0079609_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CS_4n	Central_Siberia_4n	73.25255	90.598596	4	4	0,63	3	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0079609_4_1.fq.gz	ERS18382837				
MW0079610	MW0079610_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079610_4n	yellow	CS_4n	Central_Siberia_4n	74.54343	98.56321	4	4	0,49	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a39	ERS18382838				
MW0079895	MW0079895	yes	yes	yes	yes	yes	PUWS_2n	MW0079895	pink	EE_2n	Northern_Ural_2n	66.447954	72.941734	2	2	0,25	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_2n	dip		PUD	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a78	ERS18382839				
MW0157475	MW0157475	no	yes	no	no				kam	kamchatica	A. kamchatica	51.7493516	134.6144485	4	2	0,58	2	A. kamchatica	Kolesnikova et al. 2023	published								published	ERS14775779				
MW0157476_2	MW0157476_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0157476_2	yellow	CS_2n	Central_Siberia_2n	71.88334	103.8291	2	2	0,38	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0157476_2_1.fq.gz	ERS18382840				
MW0157478	MW0157478_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0157478_4n	yellow	CS_4n	Central_Siberia_4n	71.25438	105.5609	4	4	0,45	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a27	ERS18382841				
MW0157478_2	MW0157478_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0157478_4n	yellow	CS_4n	Central_Siberia_4n	71.25438	105.5609	4	4	0,61	2	A. lyrata	Moscow University Herbarium	herbarium				CESiberia_4n		CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0157478_2_1.fq.gz	ERS18382842				
MW0158706	MW0158706	yes	yes	yes	yes	yes	CESiberia_2n	MW0158706	yellow	CS_2n	Central_Siberia_2n	72.38404	103.9105	2	2	0,24	2	A. lyrata	Kolesnikova et al. 2023	published	cohort2		y	CESiberia_2n	dip		CED	published	ERS10113958				
MW0158707	MW0158707	yes	yes	yes	yes	yes	CESiberia_2n	MW0158707	yellow	CS_2n	Central_Siberia_2n	72.30339	103.1866	2	2	0,26	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_2n	dip		CED	published	ERS10113957				
MW0158708	MW0158708_4n	yes	yes	no	no	yes	CESiberia_4n	MW0158708_4n	orange	ES_2n	East_Siberia_2n	71.32261	-179.9066	unsure	4	0,40	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a25	ERS18382843				
MW0374083	MW0374083_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	EE_4n	Northern_Ural_4n	66.53767	34.502	4	4	0,49	3	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a33	ERS18382844				
MW0374083_4	MW0374083_4_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	EE_4n	Northern_Ural_4n	66.53767	34.502	4	4	0,59	3	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374083_4_1.fq.gz	ERS18382845				
MW0374083_6	MW0374083_6_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	EE_4n	Northern_Ural_4n	66.53767	34.502	4	4	0,59	2	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374083_6_1.fq.gz	ERS18382846				
MW0374084	MW0374084_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374084_4n	pink	EE_4n	Northern_Ural_4n	72.2719304	52.4677849	4	4	0,53	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a102	ERS18382847				
MW0374084_2	MW0374084_2_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374084_4n	pink	EE_4n	Northern_Ural_4n	72.2719304	52.4677849	4	4	0,64	4	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374084_2_1.fq.gz	ERS18382848				
MW0374085_1	MW0374085_1_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374085_1_4n	pink	EE_4n	Northern_Ural_4n	66.53767	34.502	4	4	0,44	4	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374085_1_1.fq.gz	ERS18382849				
MW0374085_11	MW0374085_11_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374085_1_4n	pink	EE_4n	Northern_Ural_4n	66.53767	34.502	4	4	0,51	3	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374085_11_1.fq.gz	ERS18382850				
MW0374087	MW0374087_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374087_4n	pink	EE_4n	Northern_Ural_4n	66.5378771	34.4919205	4	4	0,50	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n		/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release1/raw_data/a38	ERS18382851				
MW0374087_5	MW0374087_5_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374087_4n	pink	EE_4n	Northern_Ural_4n	66.5378771	34.4919205	4	4	0,57	4	A. lyrata	Moscow University Herbarium	herbarium				PUWS_4n		PUWS_4n	PUT	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374087_5_1.fq.gz	ERS18382852				
MW0374087_9	MW0374087_9	yes	no	no	no				exclude	exclude	exclude	66.5378771	34.4919205	unsure	4	0,35	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374087_9_1.fq.gz	ERS18382853				
MW0374094_6	MW0374094_6	yes	no	no	no				exclude	exclude	exclude	72.3738873	52.7165222	unsure	4	0,46	2	A. lyrata	Moscow University Herbarium	herbarium								/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/MW0374094_6_1.fq.gz	ERS18382854				
MW0374095	MW0374095_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374095_4n	pink	EE_4n	Northern_Ural_4n	71.1367605	54.0211487	4	4	0,56	1	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a103	ERS18382855				
MW0374101	MW0374101_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374101_4n	pink	EE_4n	Northern_Ural_4n	71.1367605	54.0211487	4	4	0,53	4	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a104	ERS18382856				
MW0374102-2	MW0374102-2_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374102-2_4n	pink	EE_4n	Northern_Ural_4n	68.1229941	66.1201859	4	4	0,51	2	A. lyrata	Moscow University Herbarium	herbarium	cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/X201SC19112272-Z01-F001_release2/raw_data/a64	ERS18382857				
NT1_1_1	NT1_1_1	yes	yes	no	no	yes		NT1	selfer	selfer	East_Siberia_SC	68.78978	124.02293	2	2	0,00	1	A. lyrata		published	cohort1	Nikita Tikhomirov	y		dip			/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/A1_NT1_1_1_FDSW202525719-1r_HKJHWDSXY_L4_1.fq.gz	ERS10113948				
NT1_2_1	NT1_2_1	yes	yes	no	no	yes		NT1	selfer	selfer	East_Siberia_SC	68.78978	124.02293	2	2	0,00	1	A. lyrata		published	cohort1	Nikita Tikhomirov	y		dip			/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/B1_NT1_2_1_FDSW202525720-1b_HKJHWDSXY_L4_1.fq.gz	ERS10113949				
NT1_3_1	NT1_3_1	yes	yes	no	no	yes		NT1	selfer	selfer	East_Siberia_SC	68.78978	124.02293	2	2	0,00	1	A. lyrata		published	cohort1	Nikita Tikhomirov	y		dip			/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/C1_NT1_3_1_FDSW202525721-1r_HKJHWDSXY_L4_1.fq.gz	ERS10113950				
NT10_1_1	NT10_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	ES_2n	East_Siberia_2n	71.80696	127.46523	2	3	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/H3_NT10_1_1_FDSW202525742-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382858				
NT10_2_1	NT10_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	ES_2n	East_Siberia_2n	71.80696	127.46523	2	2	0,30	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/A4_NT10_2_1_FDSW202525743-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382859				
NT10_3_1	NT10_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	ES_2n	East_Siberia_2n	71.80696	127.46523	2	3	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT10_3_1.fq.gz	ERS18382860				
NT12_1_1	NT12_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT12	orange	ES_2n	East_Siberia_2n	69.90925	125.1049	2	2	0,29	2	A. lyrata	Kolesnikova et al. 2023	published	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	published	ERS10113960				
NT12_2_1	NT12_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT12	orange	ES_2n	East_Siberia_2n	69.90925	125.1049	2	4	0,29	2	A. lyrata	Kolesnikova et al. 2023	published	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	published	ERS10113961				
NT13_9_1	NT13_9_1	yes	yes	yes	yes	yes	CESiberia_2n	NT13	orange	ES_2n	East_Siberia_2n	71.04445	127.53303	2	2	0,28	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT13_9_1.fq.gz	ERS18382861				
NT14_1_1	NT14_1_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT14_1_1.fq.gz	ERS18382862				
NT14_10_1	NT14_10_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,29	1	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/B6_NT14_10_1_FDSW202525760-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382863				
NT14_11_1	NT14_11_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/C6_NT14_11_1_FDSW202525761-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382864				
NT14_3_1	NT14_3_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n			CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT14_3_1.fq.gz	ERS18382865				
NT14_4_1	NT14_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	1	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT14_4_1.fq.gz	ERS18382866				
NT14_5_1	NT14_5_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/F5_NT14_5_1_FDSW202525756-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382867				
NT14_6_1	NT14_6_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/G5_NT14_6_1_FDSW202525757-1r_HKJHWDSXY_L4_1.fq.g	ERS18382868				
NT14_7_1	NT14_7_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,29	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/H5_NT14_7_1_FDSW202525758-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382869				
NT14_8_1	NT14_8_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	ES_2n	East_Siberia_2n	71.59676	129.16077	2	2	0,31	1	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/A6_NT14_8_1_FDSW202525759-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382870				
NT15_1_1	NT15_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	ES_2n	East_Siberia_2n	71.56023	128.76028	2	2	0,31	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/D6_NT15_1_1_FDSW202525762-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382871				
NT15_2_1	NT15_2_1	yes	yes	no	no	yes	CESiberia_2n	NT15	orange	ES_2n	East_Siberia_2n	71.56023	128.76028	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT15_2_1.fq.gz	ERS18382872				
NT15_3_1	NT15_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	ES_2n	East_Siberia_2n	71.56023	128.76028	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/F6_NT15_3_1_FDSW202525764-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382873				
NT15_4_1	NT15_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	ES_2n	East_Siberia_2n	71.56023	128.76028	2	2	0,32	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/G6_NT15_4_1_FDSW202525765-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382874				
NT15_5_1	NT15_5_1	yes	yes	no	no	yes	CESiberia_2n	NT15	orange	ES_2n	East_Siberia_2n	71.56023	128.76028	2	2	0,33	2	A. lyrata		seeds	cohort1	Nikita Tikhomirov	y	CESiberia_2n	dip		CED	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/NT15_5_1.fq.gz	ERS18382875				
NT16.1-1	NT16.1-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.1-1_1.fq.gz	ERS18382876				
NT16.1-2	NT16.1-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.1-2_1.fq.gz	ERS18382877				
NT16.1-4	NT16.1-4	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,40	1	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.1-4_1.fq.gz	ERS18382878				
NT16.1-5	NT16.1-5	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.1-5_1.fq.gz	ERS18382879				
NT16.2-1	NT16.2-1	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.2-1_1.fq.gz	ERS18382880				
NT16.2-2	NT16.2-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.2-2_1.fq.gz	ERS18382881				
NT16.3-1	NT16.3-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.3-1_1.fq.gz	ERS18382882				
NT16.3-5	NT16.3-5	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.3-5_1.fq.gz	ERS18382883				
NT16.3-6	NT16.3-6	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,33	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.3-6_1.fq.gz	ERS18382884				
NT16.3-7	NT16.3-7	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.3-7_1.fq.gz	ERS18382885				
NT16.4-1	NT16.4-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.4-1_1.fq.gz	ERS18382886				
NT16.4-2	NT16.4-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.4-2_1.fq.gz	ERS18382887				
NT16.4-3	NT16.4-3	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.4-3_1.fq.gz	ERS18382888				
NT16.4-4	NT16.4-4	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.4-4_1.fq.gz	ERS18382889				
NT16.5-1	NT16.5-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,39	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.5-1_1.fq.gz	ERS18382890				
NT16.5-2	NT16.5-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,38	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.5-2_1.fq.gz	ERS18382891				
NT16.5-3	NT16.5-3	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,37	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.5-3_1.fq.gz	ERS18382892				
NT16.5-4	NT16.5-4	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	ES_2n	East_Siberia_2n	72.91466	126.32345	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT16.5-4_1.fq.gz	ERS18382893				
NT17.1-1	NT17.1-1	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.1-1_1.fq.gz	ERS18382894				
NT17.1-2	NT17.1-2	yes	yes	yes	yes	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.1-2_1.fq.gz	ERS18382895				
NT17.1-4	NT17.1-4	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	ES_2n	East_Siberia_2n	71.31612	129.44675	2	2	0,40	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_data_November2021/NT17.1-4_1.fq.gz	ERS18382896				
